"conference","full_name","category","main_discipline","other_disciplines","organization","website"
"OSDI","USENIX Symposium on Operating Systems Design and Implementation","OS","Operating Systems;Distributed Systems;Systems Design & Implementation","Cloud Computing;Security & Reliability;Virtualization;File & Storage Systems;Networking in Systems","USENIX","https://www.usenix.org/conferences/byname/179"
"SOSP","Symposium on Operating Systems Principles","OS","Operating Systems;Distributed Systems;Cloud Computing","File & Storage Systems;Virtualization;Security & Reliability;Mobile & Edge Systems;Big Data & ML in Systems","ACM SIGOPS","https://www.sosp.org/"
"EuroSys","European Conference on Computer Systems","OS","Operating Systems;Distributed Systems;Cloud Computing","Systems Security & Privary;Virtualization;ML for Systems;Parallelism and Multicore Systems;Embedded & Cyber-Physical Systems","European Chapter of ACM SIGOPS","https://www.eurosys.org/home"
"FAST","USENIX Conference on File and Storage Technologies","OS","Storage Systems;File System Design;Distributed Storage","AI for Storage;Performance and QoS;Reliability & Availability;Security & Privacy;Emerging Memory Technologies","USENIX, ACM SIGOPS","https://www.usenix.org/conferences/byname/146"
"USENIX ATC","USENIX Annual Technical Conference","OS","Computer Systems;Operating Systems;Distributed Systems","Virtualization;Security & Privacy;Performance Evaluation;Reliability & Scalability;Energy & Power Management","USENIX","https://www.usenix.org/conferences/byname/131"
"PLDI","ACM SIGPLAN Conference on Programming Language Design and Implementation","PL","Compiler Optimization;Programming Language Design;Software Performance Analysis","Static & Dynamic Analysis;Parallel & Concurrent Programming;Just-in-Time Compilation;Memory Management;Formal Methods in PL Design","ACM SIGPLAN","https://www.sigplan.org/Conferences/PLDI/"
"POPL","ACM SIGPLAN Symposium on Principles of Programming Languages","PL","Programming Languages;Programming Systems;Formal Methods & Theory","Language Design;Program Semantics;Implementation Techniques;Type Systems;Program Verification & Analysis","ACM SISGPLAN (main), and SIGACT and SIGLOG","https://www.sigplan.org/Conferences/POPL/"
"ECOOP","European Conference on Object-Oriented Programming","PL","Programming Languages;Empirical Evaluation;Object-Oriented Programming","Language Design & Implementation;Software Engineering;Replication Studies;Tooling & Envionrments;Programming Paradigms","<a href='https://sites.google.com/aito.org/home' target='_blank'>AITO</a>","https://sites.google.com/aito.org/home/ecoop"
"ICFP","ACM SIGPLAN International Conference on Functional Programming","PL","Functional Programming;Programming Languages;Type Systems","Program Semantics;Compilition & Optimization;Program Verification;Concurrency & Parallelism;Program Analysis & Transformation","ACM, ACM SIGPLAN, IFIP","https://www.icfpconference.org/"
"OOPSLA","ACM SIGPLAN International Conference on Object-Oriented Programming, Systems, Languages, and Applications","PL","Programming Lnaguages;Object-Oriented Programming;Software Engineering","Type Systems;Language Design & Implementation;Program Analysis;Runtime Systems;Software Architecture","ACM SIGPLAN","https://www.sigplan.org/Conferences/OOPSLA/"
"ASE","ACM/IEEE International Conference on Automated Software Engineering","Software","Automation in Software Engineering;AI-driven Software Engineering;Software Analysis","Model-driven Engineering;Program Analysis & Synthesis;DevOps & Release Engineering;Maintenance & Evolution;Formal Methods","ACM, IEEE CompSoc","https://ase-conferences.org/"
"ICSE","International Conference on Software Engineering","Software","Software Engineering;AI for SE;Software Testing & Analysis","Software Architecture & Design;Software Evolution & Maintenance;Empirical Software Engineering;Software Metrics & Analytics;Human & Social Aspects of Software Development","ACM, IEEE","https://www.icse-conferences.org/"
"FSE","ACM International Conference on the Foundations of Software Engineering","Software","Software Engineering;Program Analysis & Testing;AI/ML for Software Engineering","Empirical Software Engineering;Software Security & Reliability;Human & Social Aspects;Model-Driven & Program Synthesis;Software Evolution & Maintenance","ACM, ACM SIGSOFT","https://www.esec-fse.org/index"
"ISSTA","ACM SIGSOFT International Symposium on Software Testing and Analysis","Software","Software Testing;Program Analysis;Software Reliability","Automated Testing;Static & Dynamic Analysis;Debugging & Fault Localization;Test Generation & Coverage;Software Verification & Validation","ACM","https://www.issta.org/"
"FOCS","IEEE Annual Symposium on Foundations of Computer Science","Theory","Theory of Computation;Algorithms;Computational Complexity","Cryptography;ML Theory;Quantum Computing;Optimization;Derandomization & Pseudorandomness","IEEE, IEEE CompSoc","https://ieee-focs.org/"
"SODA","ACM-SIAM Symposium on Discrete Algorithms","Theory","Algorithms;Discrete Mathematics;Theoretical CS","Combinatorics;Graph Theory;Optimization;Data Structures;Approx. Algorithms","SIAM, ACM","https://dblp.uni-trier.de/db/conf/soda/index.html"
"STOC","ACM Symposium on Theory of Computing","Theory","Algorithms;Computational Complexity;Cryptography","Randomized Algorithms;Quantum Computing;Data Structures;ML Theory;Combinatorics","ACM, ACM SIGACT","https://acm-stoc.org/"
"ICALP","International Colloquium on Automata, Languages and Programming","Theory","Algorithms and Complexity;Automata and Logic;Theoretical CS","Computational Learning Theory;Cryptograph and Security;Game Theory;Programming Language & Semantics;Distributed & Parallel Computing","EATCS","https://eatcs.org/index.php/international-colloquium"
"CCC","Computational Complexity Conference","Theory","Computational Complexity Theory;Resource-Bounded Computation;Computational Methods","Proof Complexity;Inapproximability;Interactive Proof Systems;Descriptive Complexity;Complexity-theoretic Cryptography","Computational Complexity Foundation (CCF), in cooperation with the EATCS, ACM, SIGACT","https://computationalcomplexity.org/"
"CAV","International Conference on Computer-Aided Verification","FMV","Formal Verification;Model Checking;Automated Reasoning","Program Analysis & Software Verification;Synthesis;SAT/SMT Solving;Decision Procedures;Cyber-Physical & Embedded Systems;Formal Methods for AI & Security","CAV Steering Committee","https://i-cav.org/"
"LICS","ACM/IEEE Symposium on Logic in Computer Science","FMV","Logic in Computer Science;Formal Methods & Verification;Programming Languages & Type Theory","Automata Theory;Model Checking & Decision Procedures;Proof Theory & Automated Deduction;Concurrency & Process Calculi;Knowledge Representation & Description Logics","ACM SIGLOG, IEEE CompSoc","https://lics.siglog.org/"
